smile,Tg_1,Tg_pred
*c1cc(cc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*)C(=O)O,828,729.4769958
*c1c(C)cc(c(c1C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*)C,735,721.7995972
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)c1ccc2c(c1)C(=O)N(C2=O)*,599,719.8887695
*c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,867,717.8752502
*c1ccc(cc1C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,851,712.1156372
*c1ccc2c(c1)[nH]c1c2ccc(c1)N1C(=O)c2c(C1=O)c(ccc2)c1cccc2c1C(=O)N(C2=O)*,545,702.2946228
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,623,700.6590942
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)Oc1c(C)cc(c(c1C)*)C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,497,699.8465942
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)S(=O)(=O)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,562,698.0636353
*c1ccc(c(c1)Cl)N1C(=O)c2c(C1=O)c(ccc2)c1cccc2c1C(=O)N(C2=O)*,619,697.5930237
*c1cc(C)c(c(c1)C)Oc1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,521,696.9812988
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,549,694.7190002
*c1cc(C)c(c(c1)C)C(=O)c1ccc(cn1)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,522,692.1758789
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,509,691.7457031
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)*)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,524,690.7599548
*c1cc(C)c(c(c1)C)Oc1cc(Oc2cc(C)c(c(c2)C)N2C(=O)c3c(C2=O)ccc(c3)Oc2c(C)cc(cc2C)c2cc(C)c(c(c2)C)Oc2ccc3c(c2)C(=O)N(C3=O)*)cc(c1)C(=O)O,505,689.7096924
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1cccc2c1cccc2S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,607,689.5520386
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(=O)c1ccc(nc1)C(=O)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,522,688.0586914
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1ccc2c(c1)ccc(c2)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,607,687.8474487
*c1ccc(cc1)C(=O)c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,699,686.9967407
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,538,686.5446838
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,621,686.3535828
*c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,541,685.5240234
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1cccc(c1)Cc1cccc(c1)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,542,685.3989624
*c1cc(C)c(c(c1)C)C(=O)c1c(C)cc(cc1C)N1C(=O)c2c(C1=O)c(ccc2)c1cccc2c1C(=O)N(C2=O)*,602,684.6398682
*c1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)c1cccc2c1C(=O)N(C2=O)*,638,684.1896423
O=C1c2cccc(c2C(=O)N1c1c(C)cc(c(c1C)*)C)C(=O)c1cccc2c1C(=O)N(C2=O)*,569,683.4927429
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)Cc1ccc2c(c1)C(=O)N(C2=O)*,552,683.3613953
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1ccc2c(c1)cc(cc2)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,607,683.2117981
Clc1cc(cc(c1)C(=O)c1c(C)cc(c(c1C)*)C)C(=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*)C,491,682.4613098
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1ccc(cc1)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,632,681.8502258
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)S(=O)(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)S(=O)(=O)c1ccc2c(c1)C(=O)N(C2=O)*,637,681.7739624
O=C(c1ccc2c(c1)C(=O)N(C2=O)*)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)*)C,569,681.6235718
*c1cc(C)c(c(c1)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,838,681.1447205
*c1cc(C)c(c(c1)C)C(=O)c1ccc(nc1)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,522,680.8945984
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)Oc1ccc(cn1)Oc1c(C)cc(c(c1C)*)C)C)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,477,680.8570923
*c1cc(cc(c1)C(=O)O)N1C(=O)c2c(C1=O)cccc2C(=O)c1cccc2c1C(=O)N(C2=O)*,598,680.4022583
O=C1c2cc(ccc2C(=O)N1c1c(C)cc(cc1C)C(=O)c1cc2c(cc1C)c1c(S2(=O)=O)cc(c(c1)C)C(=O)c1cc(C)c(c(c1)C)*)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,547,680.3431458
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)Cc1c(C)cc(c(c1C)*)C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,503,679.9042419
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)Cc1ccc(cn1)Cc1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,508,678.9380859
*c1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,649,678.6183838
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)C(=O)c1c(C)cc(c(c1C)*)C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,510,678.0638794
*c1ccc(c(c1)C(c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*)C)(C)C)C,461,677.8693909
*c1ccc2c(c1)[nH]c1c2ccc(c1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)*,545,677.7851929
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(=O)c1ccc(cc1C)C(=O)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,531,677.7090515
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(=O)c1ccc(cn1)C(=O)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,522,676.7688354
*c1cc(C)c(c(c1)C)C(c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*)(C)C,535,676.4821838
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)C(=O)c1ccc(c(c1)Cl)C(=O)c1c(C)cc(c(c1C)*)C)C)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,503,676.359198
O=C1c2cccc(c2C(=O)N1c1c(C)cc(c(c1C)*)C)c1cccc2c1C(=O)N(C2=O)*,599,676.30625
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)Sc1ccc2c(c1)C(=O)N(C2=O)*,519,675.586615
*c1ccc(nc1)Cc1c(C)cc(c(c1C)Cc1ccc(cn1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*)C,547,675.1862549
O=C1c2cc(ccc2C(=O)N1c1c(C)cc(c(c1C)*)C)Cc1cccc(c1)Cc1ccc2c(c1)C(=O)N(C2=O)*,499,674.6519836
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(c1cc(C)c(c(c1)C)*)(C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,535,674.4463257
O=C1c2cccc(c2C(=O)N1c1cccc(c1C)*)c1cccc2c1C(=O)N(C2=O)*,591,674.0184692
*c1cc(cc(c1)C(=O)O)N1C(=O)c2c(C1=O)c(ccc2)c1ccc2c(c1)C(=O)N(C2=O)*,635,673.9751648
Clc1cc(cc(c1)C(=O)c1cc(C)c(c(c1)C)*)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,511,673.9519104
*c1cc(C)c(c(c1)C)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,537,673.7125916
